Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_table/Ref/GE_1486_1_3-Plane_Localizer_i00001.json,192,1,12:22:35.000000,,,"['discard', '_acq-SSFSEp2_run-1_localizer']",BRAIN,,20MM,,dcm2niix,v1.0.20260416,,,0000000770965MR1,,0.081002,,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.760939,ROW,,Emory SPARC Research,,,2D,3,GE,SIGNA Premier,,MR,,,2,,FFS,100,56.25,,,,,651.016,Spin Echo,Jaemin_Test,,,,256,,1,0.8273,FAST_GEMS\EDR_GEMS\SEQ_GEMS\TRF_GEMS\SS_GEMS\ACC_GEMS\PFP,SE,,SK,3-Plane Localizer,1,"[20, 29, 30]",15,,29\LX\RX29.1_R01_2111.a,15,GEHC3TMR,,"[0, 0, 0]",,,,,
dcm_qa_table/Ref/GE_1486_1_3-Plane_Localizer_i00008.json,192,1,12:22:35.000000,,,"['discard', '_acq-SSFSEp2_run-1_localizer']",BRAIN,,20MM,,dcm2niix,v1.0.20260416,,,0000000770965MR1,,0.081002,,,90,,"[0, 1, 0, 0, 0, -1]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.760939,ROW,,Emory SPARC Research,,,2D,3,GE,SIGNA Premier,,MR,,,2,,FFS,100,56.25,,,,,651.016,Spin Echo,Jaemin_Test,,,,256,,1,0.8273,FAST_GEMS\EDR_GEMS\SEQ_GEMS\TRF_GEMS\SS_GEMS\ACC_GEMS\PFP,SE,,SK,3-Plane Localizer,1,"[20, 29, 30]",15,,29\LX\RX29.1_R01_2111.a,15,GEHC3TMR,,"[0, 0, 0]",,,,,
dcm_qa_table/Ref/GE_1486_1_3-Plane_Localizer_i00015.json,192,1,12:22:35.000000,,,"['discard', '_acq-SSFSEp2_run-1_localizer']",BRAIN,,20MM,,dcm2niix,v1.0.20260416,,,0000000770965MR1,,0.081002,,,90,,"[1, 0, 0, 0, 0, -1]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.760939,ROW,,Emory SPARC Research,,,2D,3,GE,SIGNA Premier,,MR,,,2,,FFS,100,56.25,,,,,651.016,Spin Echo,Jaemin_Test,,,,256,,1,0.8273,FAST_GEMS\EDR_GEMS\SEQ_GEMS\TRF_GEMS\SS_GEMS\ACC_GEMS\PFP,SE,,SK,3-Plane Localizer,1,"[20, 29, 30]",15,,29\LX\RX29.1_R01_2111.a,15,GEHC3TMR,,"[0, 0, 0]",,,,,
dcm_qa_table/Ref/GE_1486_2_Ax_fMRI.json,64,1,12:24:31.000000,,,"['func', '_acq-EPIp2_dir-PA_run-2_bold']",BRAIN,,20MM,,dcm2niix,v1.0.20260416,,,0000000770965MR1,,0.035,,0.000228317,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.761017,COL,,Emory SPARC Research,,,2D,3,GE,SIGNA Premier,,MR,,,2,,FFS,100,100,j,,,,7812.5,Gradient Echo,Jaemin_Test,,,,64,,1,0.0768939,SAT_GEMS\MP_GEMS\EPI_GEMS\ACC_GEMS\FS,EP\GR,,SS,Ax fMRI,2,"[25, 35, 47]",3,"[0, 0.5, 0.1, 0.6, 0.2, 0.7, 0.3, 0.8, 0.4, 0.9]",29\LX\RX29.1_R01_2111.a,3,GEHC3TMR,,"[0, 0, 2.40002]",0.014384,,,,
dcm_qa_table/Ref/GE_1486_3_Ax_fMRI.json,64,1,12:25:53.000000,,,"['func', '_acq-EPIp2_dir-PA_run-3_bold']",BRAIN,,20MM,,dcm2niix,v1.0.20260416,,,0000000770965MR1,,0.035,,0.000228317,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.760932,COL,,Emory SPARC Research,,,2D,3,GE,SIGNA Premier,,MR,,,2,,FFS,100,100,j,,,,7812.5,Gradient Echo,Jaemin_Test,,,,64,,1,0.0768939,SAT_GEMS\MP_GEMS\EPI_GEMS\ACC_GEMS\FS,EP\GR,,SS,Ax fMRI,3,"[26, 47, 32]",3,"[0, 0.5, 0.1, 0.6, 0.2, 0.7, 0.3, 0.8, 0.4, 0.9]",29\LX\RX29.1_R01_2111.a,3,GEHC3TMR,,"[0, 0, -7.59998]",0.014384,,,,
dcm_qa_table/Ref/GE_1486_4_Ax_fMRI.json,64,1,12:28:29.000000,,,"['func', '_acq-EPIp2_dir-PA_run-4_bold']",BRAIN,,20MM,,dcm2niix,v1.0.20260416,,,0000000770965MR1,,0.035,,0.000228317,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.760971,COL,,Emory SPARC Research,,,2D,3,GE,SIGNA Premier,,MR,,,2,,FFS,100,100,j,,,,7812.5,Gradient Echo,Jaemin_Test,,,,64,,1,0.0768939,SAT_GEMS\MP_GEMS\EPI_GEMS\ACC_GEMS\FS,EP\GR,,SS,Ax fMRI,4,"[26, 20, 80]",3,"[0, 0.5, 0.1, 0.6, 0.2, 0.7, 0.3, 0.8, 0.4, 0.9]",29\LX\RX29.1_R01_2111.a,3,GEHC3TMR,,"[0, 0, 12.4]",0.014384,,,,
dcm_qa_table/Ref/GE_1486_5_3-Plane_Localizer_i00001.json,192,1,12:30:0.000000,,,"['discard', '_acq-SSFSEp2_run-5_localizer']",BRAIN,,20MM,,dcm2niix,v1.0.20260416,,,0000000770965MR1,,0.081002,,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.760941,ROW,,Emory SPARC Research,,,2D,3,GE,SIGNA Premier,,MR,,,2,,HFS,100,56.25,,,,,651.016,Spin Echo,Jaemin_Test,,,,256,,1,0.8273,FAST_GEMS\EDR_GEMS\SEQ_GEMS\TRF_GEMS\SS_GEMS\ACC_GEMS\PFP,SE,,SK,3-Plane Localizer,5,"[22, 32, 73]",15,,29\LX\RX29.1_R01_2111.a,15,GEHC3TMR,,"[0, 0, 0]",,,,,
dcm_qa_table/Ref/GE_1486_5_3-Plane_Localizer_i00008.json,192,1,12:30:0.000000,,,"['discard', '_acq-SSFSEp2_run-5_localizer']",BRAIN,,20MM,,dcm2niix,v1.0.20260416,,,0000000770965MR1,,0.081002,,,90,,"[0, 1, 0, 0, 0, -1]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.760941,ROW,,Emory SPARC Research,,,2D,3,GE,SIGNA Premier,,MR,,,2,,HFS,100,56.25,,,,,651.016,Spin Echo,Jaemin_Test,,,,256,,1,0.8273,FAST_GEMS\EDR_GEMS\SEQ_GEMS\TRF_GEMS\SS_GEMS\ACC_GEMS\PFP,SE,,SK,3-Plane Localizer,5,"[22, 32, 73]",15,,29\LX\RX29.1_R01_2111.a,15,GEHC3TMR,,"[0, 0, 0]",,,,,
dcm_qa_table/Ref/GE_1486_5_3-Plane_Localizer_i00015.json,192,1,12:30:0.000000,,,"['discard', '_acq-SSFSEp2_run-5_localizer']",BRAIN,,20MM,,dcm2niix,v1.0.20260416,,,0000000770965MR1,,0.081002,,,90,,"[1, 0, 0, 0, 0, -1]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.760941,ROW,,Emory SPARC Research,,,2D,3,GE,SIGNA Premier,,MR,,,2,,HFS,100,56.25,,,,,651.016,Spin Echo,Jaemin_Test,,,,256,,1,0.8273,FAST_GEMS\EDR_GEMS\SEQ_GEMS\TRF_GEMS\SS_GEMS\ACC_GEMS\PFP,SE,,SK,3-Plane Localizer,5,"[22, 32, 73]",15,,29\LX\RX29.1_R01_2111.a,15,GEHC3TMR,,"[0, 0, 0]",,,,,
dcm_qa_table/Ref/GE_1486_6_Ax_fMRI.json,64,1,12:32:16.000000,,,"['func', '_acq-EPIp2_dir-PA_run-6_bold']",BRAIN,,20MM,,dcm2niix,v1.0.20260416,,,0000000770965MR1,,0.035,,0.000228317,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.760926,COL,,Emory SPARC Research,,,2D,3,GE,SIGNA Premier,,MR,,,2,,HFS,100,100,j,,,,7812.5,Gradient Echo,Jaemin_Test,,,,64,,1,0.0768939,SAT_GEMS\MP_GEMS\EPI_GEMS\ACC_GEMS\FS,EP\GR,,SS,Ax fMRI,6,"[16, 33, 56]",3,"[0, 0.5, 0.1, 0.6, 0.2, 0.7, 0.3, 0.8, 0.4, 0.9]",29\LX\RX29.1_R01_2111.a,3,GEHC3TMR,,"[0, 0, -2.40002]",0.014384,,,,
dcm_qa_table/Ref/GE_1486_7_Ax_fMRI.json,64,1,12:33:31.000000,,,"['func', '_acq-EPIp2_dir-PA_run-7_bold']",BRAIN,,20MM,,dcm2niix,v1.0.20260416,,,0000000770965MR1,,0.035,,0.000228317,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.761027,COL,,Emory SPARC Research,,,2D,3,GE,SIGNA Premier,,MR,,,2,,HFS,100,100,j,,,,7812.5,Gradient Echo,Jaemin_Test,,,,64,,1,0.0768939,SAT_GEMS\MP_GEMS\EPI_GEMS\ACC_GEMS\FS,EP\GR,,SS,Ax fMRI,7,"[17, 25, 86]",3,"[0, 0.5, 0.1, 0.6, 0.2, 0.7, 0.3, 0.8, 0.4, 0.9]",29\LX\RX29.1_R01_2111.a,3,GEHC3TMR,,"[0, 0, 7.59998]",0.014384,,,,
dcm_qa_table/Ref/GE_1486_8_Ax_fMRI.json,64,1,12:34:44.000000,,,"['func', '_acq-EPIp2_dir-PA_run-8_bold']",BRAIN,,20MM,,dcm2niix,v1.0.20260416,,,0000000770965MR1,,0.035,,0.000228317,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.760942,COL,,Emory SPARC Research,,,2D,3,GE,SIGNA Premier,,MR,,,2,,HFS,100,100,j,,,,7812.5,Gradient Echo,Jaemin_Test,,,,64,,1,0.0768939,SAT_GEMS\MP_GEMS\EPI_GEMS\ACC_GEMS\FS,EP\GR,,SS,Ax fMRI,8,"[16, 36, 49]",3,"[0, 0.5, 0.1, 0.6, 0.2, 0.7, 0.3, 0.8, 0.4, 0.9]",29\LX\RX29.1_R01_2111.a,3,GEHC3TMR,,"[0, 0, -12.4]",0.014384,,,,
